Student ID,Group 01,Group 02,Group 03,Group 04,Group 05,Group 06,Group 07,Group 08,Group 09,Group 10,Group 11,Group 12,Group 13,Group 14,Group 15,Group 16,Group 17,Group 18,Group 19,Group 20
Seried ID,A3349338X,A3349556W,A3349799R,A3349639C,A3349348C,A3349442X,A3349773T,A3349860R,A3349775W,A3349605F,A3349456L,A3349822A,A3349360V,A3349916R,A3349849A,A3349671C,A3349371A,A3349910A,A3349661X,A3349909T
Sector,Turnover ;  New South Wales ;  Other specialised food retailing ;,Turnover ;  New South Wales ;  Newspaper and book retailing ;,Turnover ;  Victoria ;  Other specialised food retailing ;,Turnover ;  Victoria ;  Newspaper and book retailing ;,Turnover ;  Queensland ;  Newspaper and book retailing ;,Turnover ;  Tasmania ;  Newspaper and book retailing ;,Turnover ;  Australian Capital Territory ;  Newspaper and book retailing ;,Turnover ;  Total (State) ;  Newspaper and book retailing ;,"Turnover ;  Australian Capital Territory ;  Pharmaceutical, cosmetic and toiletry goods retailing ;",Turnover ;  Australian Capital Territory ;  Other specialised food retailing ;,"Turnover ;  Australian Capital Territory ;  Furniture, floor coverings, houseware and textile goods retailing ;",Turnover ;  Western Australia ;  Newspaper and book retailing ;,Turnover ;  South Australia ;  Clothing retailing ;,"Turnover ;  Tasmania ;  Furniture, floor coverings, houseware and textile goods retailing ;","Turnover ;  Australian Capital Territory ;  Cafes, restaurants and catering services ;","Turnover ;  Tasmania ;  Pharmaceutical, cosmetic and toiletry goods retailing ;",Turnover ;  Tasmania ;  Clothing retailing ;,"Turnover ;  Western Australia ;  Cafes, restaurants and catering services ;","Turnover ;  Western Australia ;  Furniture, floor coverings, houseware and textile goods retailing ;","Turnover ;  Western Australia ;  Hardware, building and garden supplies retailing ;"
Unit,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions
1982 Apr,63.9,50.4,34.9,42.2,18.4,2.9,2.3,135.1,2.5,1.6,2.7,9.7,19.1,6.1,4.4,4,6.7,8,19.2,8.6
1982 May,64,49.9,34.6,42.1,17.7,2.9,2.5,134.9,2.5,1.6,3,11,21.6,6.3,3.4,4,7.4,8,21.9,8.2
1982 Jun,62.7,48,34.6,38.5,17.7,2.9,2.3,128.2,2.5,1.7,2.5,10.7,18.3,6.4,3.6,3.9,6.7,7.3,19.9,7.9
1982 Jul,65.6,48.6,35.2,38.9,18.4,3.1,2.6,129.9,2.6,1.6,2.8,9,18.6,5.9,4,4.4,7.1,7.8,19.3,8.7
1982 Aug,62.6,51.3,33.8,39.5,17.8,3.1,2.6,133,2.8,1.6,2.8,9.1,17.1,5.7,3.6,4.2,5.8,7.6,19.6,7.9
1982 Sep,64.4,49.6,35.4,41.7,18.8,3.2,2.6,135.5,2.8,1.8,2.6,10,18.2,5.3,4.2,4,5.8,8.2,19.9,8.7
1982 Oct,66,51.6,38,46.2,20.2,2.9,2.7,140.6,2.6,1.7,3.7,7.7,20.7,5.5,4.8,4.2,5.3,9.3,18,10.2
1982 Nov,65.3,55.8,38.2,43.5,21.5,3.1,3,145.7,3.1,1.7,3.9,8.4,23.6,6,5.4,4.7,7.1,9.6,19,13.2
1982 Dec,77.9,69.9,43.9,57.2,30.9,4.6,4.9,194,3.9,1.9,4.2,11.8,33.4,7.7,6.9,5.8,11.1,13.4,23,26.6
1983 Jan,65.1,50.1,36,43.7,22.8,2.9,2.5,138.6,2.5,1.6,3,7.4,20,4.7,3.8,3.9,5.3,8,16.6,9.6
1983 Feb,62.3,64.7,35.4,44.3,20.2,3.2,3,152.8,2.5,1.6,3.3,7.4,17.3,5,4.2,3.8,5.6,7.9,16.7,9.6
1983 Mar,65.7,63.1,39.1,48.3,20.9,3.5,3.1,157.3,2.6,1.8,3.6,7.3,23.5,6,4,4.2,6.5,8.7,18,10.1
1983 Apr,61.9,51.1,35.6,37,18.3,3.1,2.6,131.2,2.2,1.7,3.4,7.4,23.3,5.6,4.4,3.9,6.9,8.8,16.4,10.1
1983 May,63.7,54.8,36.4,40.1,20.2,3.1,2.8,142,2.3,1.8,3.7,8.3,24.5,6.2,4.3,3.9,7,9.1,19.6,11.1
1983 Jun,64.9,52.3,34.2,38.2,19.8,2.9,2.8,136,2.2,2,3.4,7.2,22.4,6.4,4.3,4.2,6.7,8.6,18.4,11
1983 Jul,69.5,57.7,36.2,39,20.8,2.9,3,141,2.3,2.1,3.8,7.6,24,5.9,4.6,4,6,8.9,18.4,9.7
1983 Aug,67.9,61.5,37.1,47.1,21.2,2.9,3.2,155.8,2.5,1.8,3.8,8.9,23,6.4,4.9,4,6.5,9.2,19.4,11
1983 Sep,67.5,61,37.4,46.1,20.5,2.9,3.2,152.4,2.3,2.1,3.8,7.6,24.4,6.4,4.5,4.2,6,9.8,19.6,12.1
1983 Oct,66,56.9,37,46.9,21.1,3.2,3.1,149.9,2.3,2.4,3.4,8.5,22.5,6.3,5.5,4,6.4,10.1,17.8,12.8
1983 Nov,67.2,59.3,38.4,48.9,23.3,3.4,3.3,158.3,2.8,2.4,4,9.2,24.6,7.2,6.7,4,7,10.8,18.8,15.5
1983 Dec,78.4,70.2,44.3,64.8,29.9,4.8,4.9,202.9,3.5,2.4,4.4,13.5,34.7,8.9,9.6,5.7,11.4,15.7,22.4,25.2
1984 Jan,69.2,54.1,35.7,45.9,25.1,3.4,2.8,151.7,2.1,1.9,3.5,10.3,18.8,5.9,3.8,3.9,5.8,9.1,19.7,14.6
1984 Feb,68.2,72.3,36,48.4,23.2,3.5,2.9,171.8,2,2,3.5,10.7,18.8,6.6,3.8,3.9,5.9,9.3,20.1,15.4
1984 Mar,70.7,61,37.4,49.1,23.4,3.6,3.1,162.7,2.2,2.1,4.2,10.7,22.6,7.5,4.4,4,7.1,9.7,20.9,15.6
1984 Apr,67.4,53,36.7,49.5,21.4,3.3,2.9,149.6,2,1.8,3.5,9.8,22.5,6.8,3.8,3.7,7.5,9.4,16.2,15.3
1984 May,71,59.3,38.4,54.9,23.1,4,3.1,166.3,2.1,2.2,3.8,11.2,25.6,8.4,3.9,4.4,8.6,10.3,21,17.4
1984 Jun,67.9,54.8,35,48.7,22,3.5,2.8,152.7,2.1,2.2,3.8,10.1,22.1,7.7,4.1,3.9,7.6,8.8,18.8,16
1984 Jul,67.4,57.3,35.3,48.4,25.9,3.5,2.9,159.8,2.2,2.1,4.1,10.7,22.4,7.6,4.3,3.9,8.2,10.6,17.5,17.8
1984 Aug,70.7,58.7,36,51.1,27.5,3.7,3,166.9,2.3,2.3,3.9,11.6,22.6,8,4.8,4.2,7.8,11.1,19.4,18.4
1984 Sep,68.1,53.9,34.6,50.3,27.1,3.2,3,159.4,2.3,2.3,4.5,10.9,20,7.4,5,3.8,7,10.5,18.3,21.2
1984 Oct,73.5,64.2,35.7,55.6,29.5,4,2.7,178.9,2.6,2.2,5.3,12.4,24.6,8.6,5.3,4.2,8.2,11.4,22.8,21.6
1984 Nov,75.2,68.4,37.8,60.7,28.6,4,3.2,188.6,3,2.2,5.5,12.7,25.9,9.3,5.6,4.6,9.2,12.2,22.4,22.3
1984 Dec,81.9,79.9,41.5,73.8,33.6,5.9,4,223.8,3.1,2.3,4.8,15.6,32.7,10.2,6.8,5.2,12.5,17,23.5,40.4
1985 Jan,74.7,63.2,38.1,53.2,28.6,4,2.4,174.6,2.7,2,4,12.4,21.2,7.3,4.6,4.6,7.8,11.4,20.6,17
1985 Feb,68.7,66.4,37.5,60.3,24.5,4,2.4,179.7,2.6,1.9,3.9,11.4,19.8,7.7,4.3,4.4,7.5,10.8,18.5,15.8
